Year,Overshoot_Date,DayOfYear,BiocapPcGHA,EFConsPcGHA,co2_total,co2_per_capita,coal_co2_percap,oil_co2_percap,gas_co2_percap,cement_co2_percap,flaring_co2_percap,TotalEnergy_ktoe,Inland waterways,Railways,"Railways, inland waterways - sum of available data",Roads,"Motor coaches, buses and trolley buses",Passenger cars,Trains,"Trains, motor coaches, buses and trolley buses - sum of available data",Population,GDP_USD
1961,18-Apr,108,1.39602238562871,4.39761337014857,834.84,11.378,9.698594,1.4404055,0.020173473,0.21837486,,,,,,,,,,,73377632.0,96558204043.1028
1962,24-Apr,114,1.45345105291144,4.61843758220784,883.169,11.935,9.892472,1.7888408,0.026589742,0.22729848,,,,,,,,,,,74025784.0,105895435234.343
1963,22-Apr,112,1.45296321827203,4.47056279296507,945.498,12.658,10.196892,2.1970377,0.03428656,0.22939917,,,,,,,,,,,74714353.0,112232503744.1
1964,21-Apr,112,1.44350871593171,4.42640065331367,968.917,12.865,10.032936,2.5228536,0.050790805,0.2585537,,,,,,,,,,,75318337.0,123330404665.086
1965,23-Apr,113,1.41220835134181,4.43992551830049,960.102,12.638,9.437219,2.86664,0.07287782,0.26168668,,,,,,,,,,,75963695.0,134774688191.161
1966,25-Apr,115,1.3974109490558,4.53490429193829,951.422,12.419,8.877361,3.188622,0.08718721,0.26570216,,,,,,,,,,,76600311.0,143304275683.979
1967,2-May,122,1.47874477708714,4.76506161090462,936.229,12.163,8.494999,3.304851,0.11400798,0.24958606,,,,,,,,,,,76951336.0,145100667772.69
1968,5-May,126,1.46547503075874,4.96932072448526,984.791,12.736,8.53097,3.756265,0.18708348,0.2620394,,,,,,,,,,,77294314.0,156527292653.157
1969,11-May,131,1.44184378659775,5.2127411686788,1052.001,13.497,8.803539,4.1593256,0.26456168,0.26945668,,,,,,,,,,,77909682.0,177733486326.06
1970,13-Jun,164,1.4017865071988,6.87889372260246,1026.022,13.12,7.7134867,4.73286,0.38061905,0.29267573,,,,,,,,,,,78169289.0,216629229947.096
1971,13-Jun,164,1.44820417064012,6.80813199824322,1037.237,13.239,7.5068736,4.9100513,0.51289195,0.30939263,,,,,,,,,,,78312842.0,250900942396.699
1972,8-Jun,160,1.45374960586642,6.6172707708662,1041.481,13.23,7.0322413,5.208437,0.6688463,0.32069194,,,,,,,,,,,78688452.0,300899944795.436
1973,18-Jun,169,1.46452570794038,7.04997586414227,1085.738,13.749,7.1159616,5.467353,0.85796696,0.3079966,,,,,,,,,,,78936666.0,399833571167.215
1974,14-Jun,165,1.50555409986528,6.7897843212051,1062.727,13.453,7.162889,4.942372,1.0696051,0.27794415,,,,,,,,,,,78967433.0,446934971657.471
1975,12-Jun,163,1.49099629146877,6.73319080871214,1002.447,12.737,6.556128,4.7878113,1.1284581,0.26488248,,,,,,,,,,,78673554.0,492434094920.105
1976,11-Jun,163,1.40126800941654,6.86203417605879,1090.84,13.92,7.0946927,5.351435,1.1948549,0.27910998,,,,,,,,,,,78336950.0,521658712132.981
1977,11-Jun,162,1.48799246827291,6.73466397666992,1052.609,13.463,6.607973,5.3312826,1.2540556,0.26965016,,,,,,,,,,,78159814.0,602698323085.993
